Tournament,The Quiz Book
Round,Chapter 3 — Food Origins
Player,Karen Liss

Q#,Question,A,B,C,D,E,F,Correct,Karen's answer,✓/✗
2,Where was pizza invented? 🍕,France,Italy,Greece,Spain,,,B,,
3,Where does sushi come from? 🍣,China,Korea,Japan,Vietnam,,,C,,
4,Where did chocolate (the cacao bean) originate?,West Africa,Mexico / Central America,India,Brazil,,,B,,
5,Where did tomatoes first grow as a plant? 🍅,Italy,Spain,Peru / the Andes,Mexico,,,C,,
6,Where do coffee plants come from? ☕,Brazil,Yemen,Ethiopia,Colombia,,,C,,
7,Where was tea first cultivated? 🍵,India,China,Japan,Sri Lanka,,,B,,
8,Where was the croissant invented? 🥐,France,Belgium,Austria,Italy,,,C,,
9,Where do bagels come from? 🥯,Israel,Russia,Poland,United States,,,C,,
10,Where did the pretzel originate? 🥨,Germany,France,Switzerland,Czech Republic,,,A,,
11,Where does curry come from? 🍛,Thailand,China,India,Persia,,,C,,
12,Where does maple syrup come from? 🍁,Canada / Northeast USA,Norway,Germany,Russia,,,A,,
13,Where does vanilla come from? 🌸,Madagascar,Mexico,Tahiti,India,,,B,,
14,Where do tacos come from? 🌮,Spain,Mexico,Peru,Cuba,,,B,,
15,Where does cinnamon originally come from?,India,Indonesia,Sri Lanka,Egypt,,,C,,
16,Where do apples originally come from? 🍎,England,Kazakhstan / Central Asia,United States,Italy,,,B,,
